Episode,Score
0,-234.89475540643616
1,-250.23489796847767
2,-263.09247121359016
3,-236.14234330261328
4,-245.18962000516777
5,-250.94778613696784
6,-244.27104506828945
7,-277.6573670553664
8,-246.0999751397882
9,-265.9608225854963
10,-267.393199480358
11,-278.9339837144521
12,-256.521647342574
13,-251.3261251197368
14,-273.10881162514124
15,-275.0236930272682
16,-267.6914871147007
17,-268.4141712280471
18,-209.52192998004995
19,-217.08802283842147
20,-65.76250894200294
21,37.30773778433794
22,-216.1880001218076
23,-202.03203818199336
24,-196.97345927481985
25,-196.34309338763163
26,-202.03221791947468
27,-258.66029035265456
28,-311.5796082935114
29,-295.3453899410815
30,-296.1895903138384
31,-317.442043569974
32,-343.301390916816
33,-336.9934525247568
34,-328.6572462310527
35,-307.3207323214607
36,-257.0508241533512
37,45.048594897769405
38,57.767391827512775
39,-126.77578441451588
40,-86.84903139284188
41,-234.26961246404755
42,-260.4987502437499
43,-264.16562713109386
44,-246.66315441833004
45,-268.3988179972628
46,-252.7052815773073
47,-160.71358088801145
48,-254.8505566849593
49,-261.1811881426092
50,-288.212859867173
51,-269.9105781185494
52,-296.356538918446
53,-266.23961335184885
54,-306.14540705808207
55,-266.7126872943479
56,-273.6759507973204
57,-237.71513634602343
58,-293.2803750411639
59,-274.22567240830864
60,-266.3232579232538
61,-283.9774559456143
62,-266.5674293669925
63,-267.3996215600358
64,-333.23423955780385
65,-323.05841168093724
66,-230.61774804573216
67,-378.0516278934258
68,-323.6756155426359
69,-324.3975295711716
70,-374.66039594320415
71,-329.6310880638338
72,-332.83401108455126
73,-372.78662316132096
74,-274.3766360337357
75,-384.0155896284856
76,-338.723328436094
77,-162.01644624450827
78,-190.1808218226205
79,-246.5641835751837
80,-158.04072915252473
81,-301.70843724765683
82,-181.31071546178407
83,-134.16481963696637
84,-126.64913968918748
85,-137.6477096013506
86,-142.41869758712386
87,-169.9373056691779
88,-149.16973916764408
89,-245.30422458906835
90,-305.69636010940576
91,-221.6207684204798
92,-292.24767662792607
93,-318.9100617740614
94,-301.239495927219
95,-152.127159908103
96,-305.6411169555512
97,-287.5473297901505
98,-297.9182429511285
99,-301.7682606679806
100,-297.96415519053005
101,-228.59262707498652
102,-135.93398921869496
103,-179.44839405573973
104,-251.76892176475403
105,-127.26771255624024
106,-313.8128817639021
107,-326.5258949895863
108,-326.00794344065577
109,-325.2642957745744
