Episode,Score
0,-22.831465677515823
1,-93.52255739249452
2,33.16660247110099
3,-109.92663331076584
4,551.2309845255935
5,-25.464703999500134
6,-174.73269730167252
7,-152.02638363510482
8,-175.33174379911804
9,1710.4611211636472
10,2149.885583923692
11,-93.22439695149276
12,729.3557173215313
13,-167.31581472866102
14,2422.177098642581
15,-152.31482340479303
16,640.4569632413688
17,2677.602899364171
18,-153.9265004809455
19,2151.03939675319
20,1413.4074911644025
21,-93.88477305341723
22,1492.0904257558968
23,-75.17538576252157
24,-172.5429474553616
25,898.5447769476507
26,-177.9718529354879
27,-115.48343841540846
28,-137.61601599369038
29,-61.772182623941575
30,-63.49300507735551
31,-151.34592838984253
32,-73.80348750984119
33,-118.36250157742602
34,113.5407100727995
35,2289.919174068984
36,-149.76732600082465
37,-156.75558436359822
38,2388.8339122999914
39,-173.8318562877765
40,1507.9228278465223
41,-154.04276661422915
42,61.22214928654133
43,256.571414132547
44,1032.3448963520368
45,-61.58083054976278
46,-129.15600763060982
47,2668.9188443451703
48,84.40342154820681
49,-124.56200891385944
50,-107.27064462691366
51,-108.26013911698104
52,-179.14853431987345
53,-71.923518436634
54,-126.09417571427312
55,2128.8014878610948
56,-215.3008690034937
57,-263.6258237169379
58,551.7173177088927
59,64.68799281816017
60,345.67016946106145
61,-226.63053653334325
62,907.7796715576188
63,254.88276474414684
64,-220.081544377102
65,-128.28819416215342
66,-227.99458885504345
67,283.69987016094007
68,-49.68040058406362
69,-228.91344793331223
70,-234.0803535522031
71,-231.30289137630007
72,-234.34711639867731
73,-245.41521742482635
74,-249.4675927960731
75,-233.91247078749527
76,-251.88847024163056
77,-231.3173451129105
78,-230.4126061943256
79,-245.81499301105472
80,-232.3230995941355
81,-234.85531059729348
82,-233.81207599811785
83,-234.35771858426537
84,-230.10659741061875
85,-235.057461173461
86,-234.603369894589
87,-229.97636654619268
88,-228.6124371418276
89,-230.28718639599808
90,-230.27628271797872
91,-230.1465797507867
92,-227.83087508477865
93,-229.7329086532853
94,-229.6741474198024
95,-229.8417095116564
96,-235.12831618652385
97,-233.9967055329714
98,-231.1414282920266
99,-233.4640215343153
100,-229.7561201624946
101,-230.1488219197037
102,-232.0862031632448
103,-230.06557970094215
104,-229.33063852976116
105,-229.62676226536425
106,-232.29940251995
107,-231.85867928456275
108,-233.74339353219025
109,-235.5983514773629
110,-241.76597830718225
111,-241.70462039353487
112,-238.28556418229203
113,-238.8090910822196
114,-229.84521795618969
115,-227.5044263081663
116,-228.50418675543943
117,-227.73664906669904
118,-226.63432551906823
119,-230.29785588186013
120,-229.9350863092892
121,-228.6709396086787
122,-226.91770088007857
123,-226.7055131084404
124,-225.878469207547
125,-228.94635532143687
126,-226.6507449493213
127,-226.0822894538141
128,66.03351728849981
129,-78.3898955766644
130,-105.34323835785132
131,-85.49662737724418
132,25.985747279924837
133,-99.4761296770403
134,-95.55563407212658
135,5.392364308197851
136,-96.95216088787674
137,-94.9562008916535
138,-18.996950287666586
139,-96.43875071485402
140,-59.22285877403127
141,-72.74273667808856
142,-83.34573690398346
143,-51.61340347592729
144,-66.97235498346589
145,-29.037368496804977
146,-34.30874055619
147,-95.47116070428672
148,-109.28715700764106
149,-8.993286161386868
150,-37.51296489833608
151,-3.904680548736952
152,2.3701646492527684
153,-51.3036147636636
154,-89.45257459409544
155,1896.2564474134472
156,-2.175166067313258
157,-32.10088211953358
158,-87.21287963220816
159,20.179033923086998
160,2585.7883169326715
161,-15.225715852691932
162,18.67300896684275
163,-11.875836986973129
164,2.965101188526492
165,-96.5719446335618
166,-83.69442745250213
167,-105.83861178703609
168,-38.27934211772213
169,-55.78156679651786
170,3003.6109095213856
171,-49.04940304498837
172,-102.93110922644873
173,-5.585448028915859
174,114.98188637915796
175,2213.496758014271
176,-110.04072843569622
177,-98.52450745888338
178,-91.91674199486738
179,32.26650279322834
180,-100.49792361569736
181,2445.8868652784595
182,-28.92962780840993
183,-29.20061291848923
184,45.8084091593583
185,1164.4102109836722
186,699.0115680754868
187,1094.144968187512
188,-72.45327975244163
189,1322.5881711363638
190,1906.1313749538251
191,3032.792766642075
192,986.3551339693244
193,2633.5538802700707
194,-86.66645007338397
195,2924.7690099456604
196,-52.17221143512664
197,-81.64763303519904
198,-8.597197279642646
199,-119.36322503126874
200,-104.0500690939256
201,80.79964048705236
202,327.8687077238516
203,-69.68825267841399
204,-122.21271570307756
205,-85.01799487862162
206,2109.904707641728
207,2535.907779492162
208,-90.84824926425638
209,-55.90137996358887
210,127.85788546649592
211,-110.23611759260976
212,-117.47999836961846
213,-101.51013185447216
214,1429.1992395214895
215,495.67115626803735
216,-17.517296271432624
217,-90.49701214954396
218,1898.10093075358
219,-205.99136852162457
220,-267.4965286620255
221,-307.52310982444817
222,-255.2569512987289
223,-271.12022023685284
224,-289.0649182632684
225,-322.2480486997674
226,-290.3132138914256
227,-333.5374177208574
228,-322.94297090810693
229,-302.2416384056687
230,-308.1528466406538
231,-324.2735460589014
232,-302.41767689691267
233,-265.6940371890322
234,-264.47161907103765
235,-242.64957876005795
236,-256.2469517925752
237,-250.88246288435377
238,-189.02179153745467
239,865.6215378416897
240,249.6989794886288
241,-195.9093279442747
242,-159.5897378542428
243,-171.24477428320452
244,-185.0528252905023
245,-165.56914869523067
246,2085.8402489906643
247,-173.41458478031402
248,-112.05561474406412
249,-202.16661454675915
250,2318.6403337165725
251,-119.52693536081767
252,381.08405454748646
253,1164.9805010290602
254,-66.19168172192884
255,-29.136583408387544
256,564.0177653987871
257,-144.5055596375508
258,-54.08693274432692
259,-156.7361823496258
260,-54.27047218383732
261,-135.68696058745468
262,-85.88174181738536
263,12.019676903285758
264,156.70646123697964
265,-128.23816838208234
266,2471.969008481497
267,2694.6740465697667
268,1052.8425866070656
269,-73.29608144456022
270,-103.36098302563992
271,1748.307815202285
272,85.92512770126156
273,-22.53348745231829
274,1864.318315074511
275,-88.07830298263639
276,1694.6227781986506
277,2097.4690166597375
278,22.316941862226503
279,3098.752122377395
280,-144.43955980066283
281,-120.10833299396019
282,-131.38342440652727
283,-129.92760438664732
284,-128.10576405531205
285,-127.64947665522979
286,-150.19777422392767
287,-149.18913868532448
288,-148.42796893999645
289,-150.1516486697729
290,-149.8288331672636
291,-148.99262494627484
292,-150.23958809114777
293,-150.00487547302703
294,-150.3828788232281
295,-150.09716004600605
296,-149.99268381046758
297,-149.5167005289478
298,-152.79506772424216
299,-161.92032403144077
300,-164.05938623241073
301,-163.1666127745322
302,-161.64164796297422
303,-159.10069290882961
304,-158.08116725921872
305,-157.9893459557798
306,-159.5134052455134
307,-158.03385319068326
308,-157.44941103060737
309,-155.6966972415332
310,-158.8465047693038
311,-157.98019748543783
312,-157.54251750821913
313,-152.49028387646777
314,-153.42210821157613
315,-153.33811441537063
316,-153.30208509729854
317,-152.03096527164166
318,-150.20993275166384
319,-152.1076632014263
320,-151.20234151079464
321,-151.7470352823033
322,-149.40366822151606
323,-151.97730573278596
324,-150.00799849834596
325,-149.863309253124
326,-149.84444732633003
327,-149.22849455495952
328,-150.4895466463049
329,-149.96833597628634
330,-150.99080836738838
331,-151.08585695426333
332,-149.54663433183381
333,-149.13020130185512
334,-149.73536228424283
335,-148.75036706783348
336,-151.18543476150845
337,-150.2438340510319
338,-148.8140795525448
339,-149.23009484041387
340,-148.82020785787213
341,-147.6887355469499
342,-147.3251577116829
343,-147.95678735250203
344,-147.81450309296682
345,-147.7042905463563
346,-146.40001756145207
347,-147.28397756112196
348,-149.31804268965746
349,-146.530102054372
350,-146.22144882736794
351,-146.05008162928064
352,-146.2176293917285
353,-145.86632833593399
354,-146.26452718922042
355,-146.6071934114443
356,-145.45044453398344
357,-145.55651975883578
358,-146.51641686254337
359,-145.9096557473665
360,-145.33893485459768
361,-146.0818999154821
362,-145.90415153224163
363,-145.25154236702602
364,-145.5184591612455
365,-144.77915659958308
