Episode,Score
0,29.7952525437988
1,-44.64263192539684
2,93.90766001637081
3,-52.44827612811137
4,967.3920061534933
5,-124.08912066472982
6,-117.56742583360155
7,-112.98982840187844
8,-117.2715334240355
9,1578.8741644853467
10,-94.61094265612721
11,304.9807797232117
12,-93.56483888762946
13,-96.78848721906287
14,-85.6293279263415
15,-103.14478144433708
16,-98.45247955361404
17,-90.07692673481614
18,-89.30944626660128
19,-84.9041764352255
20,-27.38240990831707
21,0.827987072831034
22,-87.97596660790707
23,-95.14065891865916
24,-106.0418993732985
25,-104.12004147909691
26,-98.69285251487037
27,-71.7429658138714
28,-35.62394344307933
29,186.23900062937594
30,49.75931313456876
31,110.70785066218359
32,-4.771963453433245
33,-3.5882591519745524
34,223.74489666037746
35,206.87390519734586
36,177.55249927974776
37,475.24289619654826
38,-46.921596160282995
39,2454.977520109859
40,-67.54434061732287
41,-67.25170766998772
42,123.75850751526117
43,-86.85491851492766
44,-75.05049048438187
45,-89.61418677112606
46,224.94186405094558
47,-80.19514954258256
48,-69.8557036979557
49,-11.762189191838681
50,1823.6996690144463
51,12.773195994235792
52,-97.837916617854
53,213.7917547483504
54,-51.91764515938766
55,-100.17674018493672
56,-102.2763840915743
57,-101.54002168761042
58,-100.37386808616354
59,-102.78553592845977
60,-106.02653487452697
61,-80.65993892314732
62,-108.97576715637
63,-111.37643390769213
64,-108.65821757312632
65,-107.2238673025341
66,-104.29022931892327
67,-113.54333727195703
68,-99.47111380086288
69,-76.7257403069469
70,-92.2987836157654
71,-85.39597188530361
72,-101.01674604249672
73,-102.22949909467884
74,-91.55345515024749
75,-90.17450312662132
76,-89.89207938636912
77,-95.24141235664385
78,-106.53662458211997
79,-109.27826983263864
80,-108.90838212238381
81,-110.35422177969605
82,-114.00338900187134
83,-116.74369776662593
84,-115.316953980488
85,-117.2862318136391
86,-115.67358226757838
87,-124.85547754906112
88,-124.88726584422503
89,-124.68671023000421
90,-124.74523670869286
91,-124.7365023286943
92,-124.98828396755972
93,-125.16463626707105
94,-125.06003752172614
95,-125.25925186339471
96,-125.21485259127718
97,-124.85039666049663
98,-125.05476104871074
99,-124.84590985558134
100,-125.00299921716905
101,-124.82604729757634
102,-124.90718005531048
103,-124.91538239312334
104,-124.61494369079546
105,-124.88116463470425
106,-124.71572428937152
107,-124.7905254434911
108,-125.04674411402632
109,-124.85895932358933
110,-124.67105897055148
111,-124.8102225972981
112,-124.76845436906405
113,-124.73167934133038
114,-124.88780802422627
115,-124.72048888552432
116,-124.47617444030188
117,-124.7285968334916
118,-124.73513399092612
119,-124.74598661525123
120,-124.91048015790622
121,-124.8402316471899
122,-124.85922214256067
123,-124.70341839465563
124,-124.65451968665465
125,-124.70731993078456
126,-124.68885387985716
127,-124.79960994024742
128,-124.48162067313163
129,-124.52312698116694
130,-124.6108767877864
131,-124.32818975377037
132,-124.4445733457482
133,-124.85170713761907
134,-124.83588365180023
135,-124.32550655273833
136,-124.5419962653153
137,-124.63761772875873
138,-124.62412254696464
139,-125.02496110347022
140,-124.84434889451812
141,-125.13978829085956
142,-125.08655224333424
143,-124.92307357479395
144,-124.94199062676888
145,-125.02016395388497
146,-125.05828103820744
147,-124.71548337608108
148,-124.91696292945566
149,-124.83278313372617
150,-124.99837684049872
151,-125.27633425259185
152,-125.06040253063641
153,-125.2485177810765
154,-124.76518827448672
155,-125.77594652021696
156,-124.88648125054
157,-124.79611539302226
158,-124.79721033358888
159,-124.67913680187019
160,-124.90539171872943
161,-124.83163478472049
162,-124.79855771730202
163,-124.91209010363008
164,-124.95072622119093
165,-124.87389022916526
166,-124.87546940344926
167,-124.84459662416153
168,-124.80315812082895
169,-124.78249929320693
170,-124.72961954589029
171,-124.66708044065429
172,-124.9346370485018
173,-124.78701310417958
174,-124.73427035313725
175,-124.75724201449222
176,-124.85136278929113
177,-124.73554369412527
178,-124.6294673715818
179,-124.65140536853175
180,-124.63197399485044
181,-124.64046887821648
182,-124.66844913863568
183,-124.71248901808283
184,-124.73591742444655
185,-124.75159913840994
186,-124.65693959104334
187,-124.67841294978578
188,-124.63381330088136
189,-124.68818916007446
190,-124.65238159272681
191,-124.71259231453796
192,-124.63292004870644
193,-124.65562707712394
194,-124.6255425231214
195,-124.61419369861457
196,-124.62157506056103
197,-124.607805916765
198,-124.67305074423457
199,-124.61786289678305
200,-124.5979645395839
201,-124.55203865344095
202,-124.5557500553876
203,-124.54749327791382
204,-124.55558603787857
205,-124.55135727871384
206,-124.57770604127623
207,-124.58303243182353
208,-124.57122350431419
209,-124.54708020359698
210,-124.54904055079372
211,-124.56472138371218
212,-124.59178831140152
213,-124.5618737708724
214,-124.57831548064122
215,-124.61518926091085
216,-124.5707271645118
217,-124.56037778198282
218,-124.57921865485433
219,-124.58115717145694
220,-124.59345280237346
221,-124.5664140357897
222,-124.58310724528671
223,-124.58782072547424
224,-124.68193370804207
225,-124.63286992990513
226,-124.63819489319712
227,-124.55326162940867
228,-124.78991456734516
229,-125.05936536321151
230,-125.00368891126539
231,-125.0740946014669
232,-125.01842120482034
233,-125.09667230036396
234,-125.19695412777673
235,-125.19465807071187
236,-125.15776018409632
237,-125.16275187969963
238,-125.05857996992339
239,-125.089935584059
240,-125.09885696958226
241,-125.22839150773216
242,-124.96955673906581
243,-125.01321205422889
244,-124.95741566303357
245,-125.04398654871221
246,-125.01773522242286
247,-125.13924531179505
248,-125.18591025014398
249,-125.10807305377152
250,-125.13119030136787
