Episode,Score
0.0,-98.32872126881892
1.0,-137.68937746433363
2.0,-50.234069646841405
3.0,-145.4356208036588
4.0,158.36502495821895
5.0,-195.7491546644084
6.0,-197.89894463398818
7.0,-223.60600313303684
8.0,-227.81621652558752
9.0,-233.94940505911507
10.0,-245.82294652144802
11.0,-236.62556730122935
12.0,-242.65036238790535
13.0,-244.00612255723192
14.0,-246.69939459202863
15.0,-253.72733317355537
16.0,-248.41483608769008
17.0,-250.4689903518126
18.0,-249.70302945755034
19.0,-235.46056070335985
20.0,-246.4620709662749
21.0,-237.8477395957225
22.0,-227.9551497806222
23.0,-227.64060466980547
24.0,-269.24659435425696
25.0,-260.65460812509014
26.0,-242.19830247091414
27.0,-277.4699354810942
28.0,-268.6866655172738
29.0,-287.51980467516125
30.0,-267.9455902641151
31.0,-274.32606074614023
32.0,-264.5873065162167
33.0,-257.0328838518974
34.0,-237.62657786234666
35.0,-250.28635658012834
36.0,-265.29251018813585
37.0,-226.5051594496633
38.0,-244.56150283739296
39.0,-233.94823995943196
40.0,-238.9928639959257
41.0,-252.66308012751935
42.0,-244.88096143913245
43.0,-246.21253365095794
44.0,-268.61268236002337
45.0,-251.55091940857935
46.0,-244.67263968247548
47.0,-238.1913017440282
48.0,-246.86671680353177
49.0,-238.1256825925054
50.0,-253.04250778526415
51.0,-252.72687605001954
52.0,-243.14093412227427
53.0,-244.0815824063401
54.0,-234.7783064742733
55.0,-247.56663672123287
56.0,-232.72738838402924
57.0,-253.57730222250095
58.0,-231.08285821079178
59.0,-238.26821988744373
60.0,-238.4643566740229
61.0,-232.77887358312594
62.0,-228.91886593989722
63.0,-231.1325667740451
64.0,-229.54178327726692
65.0,-229.9944296713876
66.0,-229.00712700426638
67.0,-228.97192549237582
68.0,-229.6481273236358
69.0,-229.70188689597074
70.0,-231.3938360388236
71.0,-232.2170325975851
72.0,-235.83530474208672
73.0,-238.84566215644003
74.0,-234.48495426821822
75.0,-234.32922310911198
76.0,-242.63520533713753
77.0,-248.25795820134573
78.0,-245.32920256025304
79.0,-248.6753329761785
80.0,-244.16126071228857
81.0,-234.30742943342594
82.0,-231.22376619299953
83.0,-243.48803034523488
84.0,-241.30460701717945
85.0,-230.8562929443182
86.0,-254.3485902599646
87.0,-251.5400503628367
88.0,-244.47173989383856
89.0,-265.36767845202417
90.0,-259.8837778975829
91.0,-251.62794883078664
92.0,-254.44437826884334
93.0,-282.8541998631362
94.0,-258.6684537987478
95.0,-255.7002602593245
96.0,-273.74872325719946
97.0,-287.28965776860804
98.0,-281.74392244234843
99.0,-299.7949323791612
100.0,-313.863671713969
101.0,-300.07979688171275
102.0,-314.4073579952596
103.0,-340.64123890855564
104.0,-340.83751505294373
105.0,-357.4626932347893
106.0,-342.3769352548028
107.0,-335.6354905235192
108.0,-349.2824613133072
109.0,-319.0095793351419
110.0,-331.3087751699348
111.0,-320.8275030044944
112.0,-299.97205310868975
113.0,-328.5766909182273
114.0,-332.05214313129596
115.0,-336.38501533251576
116.0,-317.08657447540423
117.0,-328.74784501454803
118.0,-317.4356178377756
119.0,-340.04421993131723
120.0,-327.47295842518554
121.0,-309.9419038875144
122.0,-318.64189824045195
123.0,-301.7350504839364
124.0,-290.214045070405
125.0,-308.7277730680482
126.0,-267.3081227604443
127.0,-271.9458860298546
128.0,-247.77609991851557
129.0,-239.3114628747787
130.0,-232.6095144997411
131.0,-238.25012905651417
132.0,-233.12284925909367
133.0,-251.6138480093982
134.0,-229.11561565562218
135.0,-250.37587460431905
136.0,-245.33555004388282
137.0,-238.4980076762708
138.0,-248.9798531060416
139.0,-235.03366046754033
140.0,-229.7453659911688
141.0,-232.92532850995732
142.0,-235.76015564698858
143.0,-234.3751069950857
144.0,-233.84363944278246
145.0,-228.9940134295781
146.0,-230.90415601018162
147.0,-229.70426817140043
148.0,-233.3133998011001
149.0,-239.23818830705304
150.0,-243.6946219130811
151.0,-232.8909926122671
152.0,-235.42352424385007
153.0,-243.34394807985694
154.0,-249.2636445158591
155.0,-249.39552638006856
156.0,-239.6777912975314
157.0,-245.10885542540416
158.0,-251.34017655279294
159.0,-265.4933387612086
160.0,-242.20327150207703
161.0,-244.58247288082333
162.0,-244.92407857845478
163.0,-244.81451052551986
164.0,-236.6372956210847
165.0,-229.8845518363432
166.0,-238.66596259632024
167.0,-226.6466617238304
168.0,-233.46693449675328
169.0,-229.37981403388014
170.0,-252.23413054682138
171.0,-237.55451309766877
172.0,-246.47922137491057
173.0,-233.85482808663255
174.0,-257.5554163211102
175.0,-240.66642331940704
176.0,-243.0387861933263
177.0,-230.2603986544047
178.0,-241.88727841219827
179.0,-243.51868542553734
180.0,-239.81895044152694
181.0,-239.90101565177216
182.0,-230.40607866947056
183.0,-235.15035244812861
184.0,-244.46324431194114
185.0,-251.8936958859885
186.0,-244.45296080248664
187.0,-240.31474608561567
188.0,-251.69836852858808
189.0,-239.56467826083534
190.0,-251.20238961466248
191.0,-229.7495165421911
192.0,-231.00625576703214
193.0,-233.1976014450719
194.0,-227.19713508211714
195.0,-238.87093589155677
196.0,-228.17945006601758
197.0,-228.8818197023481
198.0,-226.1689661701883
199.0,-227.728708105791
200.0,-227.63150557222528
201.0,-229.76831961027494
202.0,-226.28471153445747
203.0,-227.0898405515466
204.0,-227.1032401045108
205.0,-225.9522395024532
206.0,-227.97701211692154
207.0,-225.9652748034119
208.0,-226.94188578772233
209.0,-226.35415098249024
210.0,-225.87058742510405
211.0,-226.70574002889649
212.0,-225.87209462045217
213.0,-226.18400700773861
214.0,-226.48887136681972
215.0,-226.80962468497384
216.0,-226.3320846799688
217.0,-226.1056008406437
218.0,-225.8541530622282
219.0,-227.45351552377807
220.0,-226.60688148791138
221.0,-226.28600504981634
222.0,-226.09585873308927
223.0,-226.54650435909807
224.0,-226.15727571305953
225.0,-226.33606282244412
226.0,-226.31207342871073
227.0,-226.34326147213193
228.0,-226.34202746425194
229.0,-226.31398063348195
230.0,-226.32582139800328
231.0,-226.16234098298403
232.0,-226.20803588074867
233.0,-226.31547623390622
234.0,-226.19202657568644
235.0,-226.21755529640285
236.0,-226.1619983986967
237.0,-226.21226835670134
238.0,-226.3457879124312
239.0,-226.1237548173156
240.0,-226.09701326258326
241.0,-226.1679911015327
242.0,-226.20218089200617
243.0,-226.01204092403015
244.0,-226.04155387788686
245.0,-225.89021787536987
246.0,-226.05104699007575
247.0,-225.9436790199441
248.0,-225.99709298759228
249.0,-226.02056190791546
250.0,-226.00188152910988
